num,Longitude,Latitude,Altitude,Pitch,Yaw,Roll,VelocityX,VelocityY,VelocityZ,BatteryVolts,time,GPSFix,NumberOfSatellites
58,-78.6962268,35.7273009,24.99,-0.363087922334671,0.22792799770832062,0.0012028260389342904,7.97,1.72,-0.02,12.587,2025-05-31 23:22:09.775994,6,10
59,-78.6962083,35.7273705,24.989,-0.25952619314193726,0.27445387840270996,-0.005842205602675676,7.2,1.55,0.0,12.587,2025-05-31 23:22:10.777122,6,10
60,-78.6961923,35.7274309,24.99,-0.14528174698352814,0.2655942440032959,0.007057735696434975,6.0,1.3,0.0,12.587,2025-05-31 23:22:11.777463,6,10
61,-78.6961794,35.7274789,24.992,-0.024334458634257317,0.25355932116508484,0.00696779228746891,4.52,1.02,0.0,12.587,2025-05-31 23:22:12.777787,6,10
62,-78.6961702,35.7275126,24.993,0.08036694675683975,0.269488126039505,0.007532304152846336,2.86,0.65,0.0,12.587,2025-05-31 23:22:13.778420,6,10
63,-78.6961653,35.7275302,24.999,0.15299953520298004,0.26149240136146545,0.008790852501988411,1.01,0.23,0.0,12.587,2025-05-31 23:22:14.780747,6,10
64,-78.6961645,35.7275334,24.999,0.058112841099500656,0.2625642716884613,0.004755644593387842,-0.09,-0.01,0.0,12.587,2025-05-31 23:22:15.782590,6,10
65,-78.6961651,35.7275311,24.997,-0.00019948504632338881,0.2634745240211487,0.0027039845008403063,-0.26,-0.05,0.0,12.587,2025-05-31 23:22:16.784471,6,10
66,-78.6961658,35.7275289,24.997,-0.00948816817253828,0.26224058866500854,0.0034818961285054684,-0.15,-0.02,0.0,12.587,2025-05-31 23:22:17.786366,6,10
67,-78.6961663,35.7275278,24.999,-0.005533129908144474,0.6101778149604797,0.0032689606305211782,-0.06,0.0,0.0,12.587,2025-05-31 23:22:18.787173,6,10
68,-78.6961665,35.7275273,25.001,-0.003388948505744338,2.06881046295166,0.0004470194107852876,-0.04,0.02,0.0,12.587,2025-05-31 23:22:19.788355,6,10
69,-78.6961666,35.7275271,25.003,-0.003687759395688772,2.182894706726074,0.00140646833460778,-0.04,0.03,0.0,12.587,2025-05-31 23:22:20.788894,6,10
70,-78.6961667,35.727527,25.002,-0.0025179553776979446,1.569367527961731,0.003800447564572096,-0.04,0.03,0.0,12.587,2025-05-31 23:22:21.790803,6,10
71,-78.6961666,35.7275268,25.0,-0.0017691320972517133,2.71272611618042,0.0006401219288818538,-0.03,0.02,0.0,12.587,2025-05-31 23:22:22.791428,6,10
72,-78.6961664,35.7275267,24.999,-0.0026801438070833683,-2.3381588459014893,0.0012676955666393042,-0.03,0.01,0.0,12.587,2025-05-31 23:22:23.792481,6,10
73,-78.6961663,35.7275267,24.999,-0.0014389435527846217,-3.0702173709869385,0.001842611818574369,-0.02,0.0,0.0,12.587,2025-05-31 23:22:24.793684,6,10
74,-78.6961663,35.7275266,25.001,-0.0012129740789532661,3.1067168712615967,0.0013028234243392944,-0.01,0.0,0.0,12.587,2025-05-31 23:22:25.794610,6,10
