time,snr_lw1,snr_lw2,snr_lw3,snr_lw4
2025-05-31 23:24:31.257693,1.941828,12.015141,-5.444359,-99
2025-05-31 23:24:32.266416,0.017118,13.302856,-4.977716,-99
2025-05-31 23:24:33.272418,1.07641,15.24823,-4.207726,-99
2025-05-31 23:24:34.279057,1.305349,13.229,-4.997198,-99
2025-05-31 23:24:35.295230,2.225285,14.614483,-5.036184,-99
2025-05-31 23:24:36.300432,0.094097,12.839054,-4.005564,-99
2025-05-31 23:24:37.350797,1.272402,14.362457,-22.22784,-99
2025-05-31 23:24:38.365552,1.994692,14.307758,-3.996944,-99
2025-05-31 23:24:39.355748,0.748781,13.245789,-6.241642,-99
2025-05-31 23:24:40.367618,0.848764,12.499565,-5.358265,-99
2025-05-31 23:24:41.380041,1.49831,14.798882,-5.615025,-99
2025-05-31 23:24:42.400542,1.359749,11.314415,-4.196877,-99
2025-05-31 23:24:43.426763,-0.460855,12.315544,-4.463793,-99
2025-05-31 23:24:44.432886,1.522934,12.646069,-5.10858,-99
2025-05-31 23:24:45.454106,1.752647,14.701336,-5.852051,-99
2025-05-31 23:24:46.455303,1.359344,14.774616,-5.738503,-99
2025-05-31 23:24:47.498467,0.683346,13.350834,-3.748529,-99
2025-05-31 23:24:48.489885,3.258663,14.116764,-2.916933,-99
2025-05-31 23:24:49.490965,3.322094,13.540646,-5.85807,-99
2025-05-31 23:24:50.533715,1.190207,12.633381,-6.420958,-99
2025-05-31 23:24:51.523950,1.05451,10.982666,-5.950441,-99
2025-05-31 23:24:52.544624,1.658363,13.632401,-5.082989,-99
2025-05-31 23:24:53.555156,0.188557,12.883339,-4.231464,-99
2025-05-31 23:24:54.578286,0.367962,12.395092,-5.644445,-99
2025-05-31 23:24:55.584981,3.250797,11.480862,-4.562357,-99
2025-05-31 23:24:56.584446,1.379217,10.25835,-4.721514,-99
2025-05-31 23:24:57.620736,2.019836,9.406178,-4.783548,-99
2025-05-31 23:24:58.608667,2.486206,9.549412,-2.371122,-99
2025-05-31 23:24:59.629960,2.751686,8.010685,-4.94677,-99
2025-05-31 23:25:00.646283,2.478931,9.263367,-5.391375,-99
2025-05-31 23:25:01.647538,2.88451,9.290039,-2.906538,-99
2025-05-31 23:25:02.666790,3.167427,6.54211,-3.870113,-99
2025-05-31 23:25:03.683510,4.008213,5.465427,-3.891907,-99
2025-05-31 23:25:04.707096,2.921482,7.851875,-2.623962,-99
2025-05-31 23:25:05.742581,4.107937,4.858376,-2.555288,-99
2025-05-31 23:25:06.739599,5.901764,5.254848,-4.092546,-99
2025-05-31 23:25:07.751660,5.410126,6.32156,-3.381611,-99
2025-05-31 23:25:08.771807,3.91436,5.377224,-2.659176,-99
2025-05-31 23:25:09.787840,6.145027,5.328022,-3.515011,-99
2025-05-31 23:25:10.795705,4.837627,3.661369,-4.209864,-99
