time,dl_lw1,dl_lw2,dl_lw3,dl_lw4
2025-05-31 23:26:45.585774,493.71,265.45,112.8,0
2025-05-31 23:27:05.338928,493.71,265.45,115.47,0
2025-05-31 23:27:06.380451,493.71,265.45,118.15,0
2025-05-31 23:27:21.110504,493.71,265.45,119.38,0
2025-05-31 23:27:47.880629,495.78,265.45,119.38,0
2025-05-31 23:27:48.100357,501.24,265.45,119.38,0
2025-05-31 23:27:49.108904,506.7,265.45,119.38,0
2025-05-31 23:27:50.117489,513.03,265.45,119.38,0
2025-05-31 23:27:51.113499,518.49,265.45,119.38,0
2025-05-31 23:27:52.119291,524.82,265.45,119.38,0
2025-05-31 23:27:53.131051,531.15,265.45,119.38,0
2025-05-31 23:27:54.115596,537.47,265.45,119.38,0
2025-05-31 23:27:55.116882,543.8,265.45,119.38,0
2025-05-31 23:27:56.123357,550.13,265.45,119.38,0
2025-05-31 23:27:57.126027,556.46,265.45,119.38,0
2025-05-31 23:27:58.115142,561.92,265.45,119.38,0
2025-05-31 23:27:59.127848,568.25,265.45,119.38,0
2025-05-31 23:28:00.118897,575.41,265.45,119.38,0
2025-05-31 23:28:01.120064,582.58,265.45,119.38,0
2025-05-31 23:28:02.120036,588.91,265.45,119.38,0
2025-05-31 23:28:03.125465,594.37,265.45,119.38,0
2025-05-31 23:28:04.123659,600.7,265.45,119.38,0
2025-05-31 23:28:05.127230,607.03,265.45,119.38,0
2025-05-31 23:28:06.144384,613.35,265.45,119.38,0
2025-05-31 23:28:07.155408,619.68,265.45,119.38,0
2025-05-31 23:28:08.170835,626.01,265.45,119.38,0
2025-05-31 23:28:09.181059,633.18,265.45,119.38,0
2025-05-31 23:28:10.194409,633.18,265.45,119.38,0
2025-05-31 23:28:11.212431,633.18,265.45,119.38,0
2025-05-31 23:28:12.214009,633.18,265.45,119.38,0
2025-05-31 23:28:13.245898,633.18,265.45,119.38,0
2025-05-31 23:28:14.250373,633.18,265.45,119.38,0
2025-05-31 23:28:15.266457,633.18,265.45,119.38,0
2025-05-31 23:28:16.279596,633.18,265.45,119.38,0
